address,boxId,amount,percentage
TZPn3oLcgqXcSLXXguTKqW6TXsMC9brGikXUrMfygBTPdeLgbKLkWj63EQ8rUQQodcVveRjDSigJ3CVd8yjeBwY4jQLr6ZMxDXTPn7V42zNTskCp18maQwN3p4S82tezBcJnTdWoSzeQVbqhARUyNNFjKdyKc6Z49XKkQL7jktSJcG4fnFayBqPZRhQMEB1ZZ12bU2rX5SkQj5jE65N2ZFCTi6WbNeNWWZQYPtZv8fGVLmNdhxgg968LYPLNLBJVa7rUo6Nyce4CszBYq44bD14rvKMZXq1zQ6ZjkFRfmXjDFg92MsXGuENuZdPnTgKJ7Cdct3EP4UFjgZx1PQSauX8own7pPEAf9MBRdF84WNqo9cbZhvrhUVvispD6bP2AoCZWKkrppi1atoV22RPxbouC1rkpsKW287HAXxfiwP8VKVDRUi1aVjRvFP13RpyrBf9cu1z44xnJwTC9ui38XPAUjz4DWp87mGh6JC54z2Mqyk2nEaai7nBP4fPW53XSExd5AK5JC9fVyfdrRtiR5ADkcc2yqXrF,c8c42506dca85d1f94353b07980cacd4ceb7308a83a28e49a3d742bd1a087edc,97652414857111434,0.999105
H3AA3QNR1XTqqPnNsjrYjsF3JAKFZATMemhZ1pp94Vgus7BK3WsuZwmqfDYNWCFGvVd3Udo1nEMt3MyKEFiCnqT4fd9FUwPhTTCbMjbL5LyuVpTRhLppi9AnHvBVhmtYMLmWeyUnspkDbHC5VzZMTaETLmA9ZsNZPjzYab5woeSwSXKk5uCa9GkJf8FYi2mAHuaXB9MohZR9B3gGZY5uP8Wsq1QDE8pxKTmurTd9tVRjsjWVF7hyTdbEkhq3Ue89WsJEi1Y5Ur9RrVjNx3MgMXCiHbi2XnATEAkdssCSxybr9pyGqF2pyfjP2daNioEtaok99ca3pUFg7egqtfAuALqgjwBPMZyDT6ewmkLSwiBbNG4F8Yvh6d7jEzBM41fXNtNKHtRbxRhrj95fQmZW9dPbsr4MyAF5HpJpgCKEjpe4YBfuCjssu5YKMc5sNjwBEo8k8xHVPEne7SwpCbLDSeyj98XgK58yt9Zcm1Lr9M7txoiNxHAGaNAXmcbayGTkeVPyrgAfni8daXmzHyGTcQ8zH33bfkM6asQPpj54LTWPAfHAKsK646MPJ9UUjCGoNunpQ,7d91f7c89691ed20d2c4e7566ce6148534a5115a736e6b2530e38014f5722b65f393d3193efc71507220ddb30d22d3afb89790428809fb54b6eca5f779102fd146e903248bf596f60703939ccfa0d72fa3620767200dd232bbf23ce86af76a743d2b1d93d251ef3ffec741e7ff636cad8ac23fe37cf3a57fab60f4c034775e20e6e73d94db72c86331ea23d8f8b5d38cf33ace7cdfa34429474ad767f8afa5d285d48066219dd2806d682c57801d746c4cbf0e08c501dbcff059368f39dbdade,21120000000000,0.000216
9gCJ2T2E3eaVTpm3UDFyinBMpWErEUmC5krztTWvhYfd6uzrDCL,8c1f57837b2d60b64a5a32970eb773518c7fb72cb641b2d9622d34af80f43e5c,14000000000000,0.000143
9fNNZ5SiCm9ZT6Wn2xYXWcCB5n3tAMKbNCoxXP4YqLXaXYwVLhr,098aa2d9cce15ee8addbd481c602bfc7507e98cc56dccb15fc290142b40b4a41,9999999000000,0.000102
9fsJf6BAM1eYFdpFBGEjvKfcx6VD2UPqjkfNAVAvgPzpZ37dNMz,db43d66a2a2849b2ecb9035d337019a5189e2775b0044cb8fe3c9f2e337eb9c3,7500000000000,7.7e-05
9fGHoyNM5xqLctzir6t94x8GZm322bNmP5PuN15qtAcLRUs9fqd,733f6fbba7d798cd5e156b16d4bb6c338e7de536130e3a58d6ea436780466372,6000000000000,6.1e-05
9hcbZf9bV1vFKfsNScXk5cdcPnY6HWSCKNn16rD8AeqVFf8GWVn,38337ed14957a7a3bd2ba1043ea1f79543f8cd7366bb8428c8fd1b38aa61c259,2473998002335,2.5e-05
9gnAj7myBUZHJTweaT2zcujadx8v8HJLztDaBm2WAfowQr1r1AQ,6acd73f09855ec43c72bd179f5508db63d01d068a8732e33b36277de147522ef,2000000000000,2e-05
9h943hAizCT4jvjbqw6xVexVx2jS5u9w9UpskJKxLcCqMKpaA1b,22e94c965fc594463ea3a9f6ce764a022878ad9409b00ee752dc092d2a6cb837,2000000000000,2e-05
9gLRSzqiMGdMU39jG6hMAnwHT748HiTrY6wz1jjFGkJYaMPRHTP,b532d535b851eb057107646efb8608f735fedc844287dc90f907e0dbede40ca0,1999999029415,2e-05
9fyi99iTFRJJx1qAHkY25oWb5KoY54MZwDhyiYcGUZ2rW7H7pBA,ae53e7d802d321d379891c779a5875b2e851fb0ef330ed535e79418282ed0e59,1734998013724,1.8e-05
9ggp8PyhoKPv584gZJtn8JqtWSrx1unw418xodZLyF5DuXQGZPw,163d978bdc16f347a65118fa75796f8568d7e394db44aff9231e2ca4a8526fbd,1710339766576,1.7e-05
9gdb9Tjwmg2xyqQikTZLPmUqY76rA6UA1G77mTm2HpVqSCmiRCV,c9ddd2245a47482a9c31ffed88eceee56cd44e7ae76ab5fc3ac3b917e31f1f2c,1074999000000,1.1e-05
9frZ8diPNsECBRcMaN2ADz8uCEdzHwTyWBvoz9T9NxqQEWGKunP,4946d440ee656c8a6222e8c1d173f28671402f1fd6e7dbb0149b064e372ae97b,1000999002335,1e-05
9ewS11EiNK7dfKoG2hHnJD71YN23RHvhCdfAat3JzYxmbCZPbbe,34b3106e2293ba829672db4570904fe2ff36268d9d2d4c687041f053884ff259,1000000000000,1e-05
9fbzAZAQauntRwsnCNFPb7DzT7854qWp4uxeWrhgiscW43aFGfN,4a85038f03095bdb0d5df3e6e1184f1a9f7e37ac39ed2f1793452f2610e089a7,1000000000000,1e-05
9fGfs27iDB9ysarDtNemJoiGxmLRES9KG9egVFtZ3cnkBTnCgsc,3bf4b7f7f48c1939949f26cc7fdb98dafe6196e3edb41beea71a5f26e3c173b8,1000000000000,1e-05
9gU1AhBGJkBeAQp6ryrJ2weGUxgx3c9RnzPfasPKR3zXnbqe6yN,1b449ec8167e7abc5d1f2a2d84ebf9da875f16d5665e50a9a0c3a98863eca87f,999999002787,1e-05
9gGugQdo7buVPRDzvdnKt5BUU36FvjFgutyiu9xYLf4udv3CyVx,715e7847fa25e4ecae322c0cf8645f3a8a2405acde1b48fbddbc03ec0ee60ee4,948648010091,1e-05
9fsNERkv4QU4D1TJs3gux7oVgbpng4227PnudU5GpjW4PJGdspq,d8015ab876176e0b1cef1cb8a3024fe58b3132204588292b5f7a97d3bb264e73,750000000000,8e-06
9eZ24iqjKywjzAti9RnWWTR3CiNnLJDAcd2MenKodcAfzc8AFTu,8d46024afa116a054c7ee45269509a58e111cf83f6ec376fba92b3e9a9423b0a,556196033377,6e-06
9fdNNqKkb7WiZwrAW5HP1TAekYpxsXnBuQ5igKTqzJ5xfq8xr11,e53a5afda0c8ea39c9f33e11d219a936114217246b1dacd5a824e3ab519bb974,500000000000,5e-06
9fVeSJjfGBh8QLLq7NZCtdAZf4TmDofUxWWTEUW5DsGt8PU13M3,d4681369815c12adfce54d99c4d8b48dce8f854f6babc545b6f4440f6a8e1542,500000000000,5e-06
9gtSd97VCNTiQLHriJfh9dgfU4LZ1QxwEHLWCKYQWvZHbRfc2tq,48ff70dda8f44167b987286f8da263b6527c421b662a48fb7ff5c1ba0b49909de96b2d454638445a098526e03f613c07068cf6208abee43ae258870cc5bde98064dd9ec7e0587ebea4befe1e1b0ebdc40d2721167233103636b1a004bff73c62ce06452ca93b40370461f01e34073046a98bd1717e1d78cb5c02f36bed44fab16429d647ef1381d7b58a850352d5cbcacb83c1ee76d3ba05853eab4e0deb9951646d92fdd2592647ee41ec40184866c6771b050c8e05bbd0aa9cd4650240a510aa880be360383f085d7c6896d18fb1de5b02232e470c249b95a1f82dfe6e3670a583f301ea792cfc9d195b6e490a5ccd1150c36f30acf91c9ac7600be536c65e02a3927cc3dac97fb2a5cdebddb501ed6413ed544fc69b67ed622b8a2b94da7c7fcefe5d8ae2b9b301c0625330711c51d3c7fd5ba31ea232439f34e2d40c329da2c1657b022c4e73d611431073affefebe97cfd7dac50c37c7f90bbfd541e83abf7c7860660c819f0e31d2995392df62c93a4619ac054ec8531ef14d5ad61c38e8a12120591349e1227b08f89aa596f9661cba1f03b4fb97afd1a9a575ca858948e3469d5571005d292477fb0e1c0bb281b7167670211b1116726deb57b8bbb75e69ee875cf9fe859e92fd7c274032173c42bfee0a02f89483e1b326b0769751965332c14202465eb2f2847c1797eb477d37d4417ac0c79aaa6c7c13e9d60bd4ec529d3b7bc991331fdd125bad14e63eb59c0dcee090eccdfdf2510ee333a3c23c09f480056b380fbe56cd35c083a2af0a2dd892beedaabaff6ebd80d203b3fb392b27d290e2b4dccc361ef81c55a0f20b5d34027be043269483e541ba4fd398,499999999999,5e-06
9iGCyowxwgf6cQef1RfEw6UCYoHJi6q1hZvKvcWyFY1kuLNVE7S,b68b5e23ad9a0dbd4fe418ebbd0fa24fd8f097c71335f9e98a4eb2c1f49e4796,499998028289,5e-06
9fjQi1JrgFZ9QBKGbE7EYDwUwAvGUk95Wa92kV2D4EnggNcnMzN,f59bd800c4070d5eb0c917231c650be210dac56ee459fbb17aafbf0d34ff376c,356000000000,4e-06
9hUzb5RvSgDqJdtyCN9Ke496Yy63mpcUJKbRq4swzQ5EQKgygKT,a45b76111eeae720eb4a6f42457a3e0fe250ce56c79ff1d7cc2bbc910621bc05,325000000000,3e-06
